A British officer
A Californian
A. L. O. E.
Aaberg, J. C.
Lynd, Robert
Lynde, Carleton John
Lynde, Francis
Lyng, Mary Ella
Lynn, Escott
Lynn, Ethel
Lynn, Margaret
Lyon, G. F.
Lyon, Leverett S.
Lyon, Otto
Lyon, William Scrugham
Lyons, A. Neil
Lyons, Charles W.
Lyons, Sophie
Lyra, F. W.
Lys, Francis J.
Lysaght, Sidney Royse
Lyster, Annette
Lyth, J.
Lytle, H. M.
Lyttelton, George Lyttelton, Baron
Lyttelton, R. H.
Lyttleton, Kay
Lytton, Constance, Lady
Lytton, Edward Bulwer Lytton, Baron
Lytton, Edward Robert Bulwer Lytton, Earl of
Lytton, Henry A.
Lyy, Toivo
Lázár, Béla
Lähde, Vihtori
Léo, André
Lévi, Éliphas
Lévy, Arthur
Lévy-Bruhl, Lucien
López de Gómara, Francisco
López y Planes, Vicente
López, Honorio
López, Lucio Vicente
López, Vicente Fidel
Löfving, Stefan
Löher, Franz von
Löhlein, Max
Lönnkvist, Frederick
Lönnrot, Elias
Löns, Hermann
Lü, Kun
Lü, Shang
Lü, Sheng
Lü, Zuqian
Lübben, August
Lüer, Hermann
Lütken, Otto George
Lützow, Francis, hrabe
M'Clintock, Francis Leopold, Sir
M'Clymont, J. A.
M'Crie, Thomas
M'Govan, James
M'Jilton, J. N.
M'Levy, James
M'Pherson, J. G.
M. A. C.
M. H.
M. T. W.
M., Antonino
M.J. Ivers & Co.
Ma, Zhiyuan
Maag, Carl R.
Maartens, Maarten
Mabey, Charles Rendell
Mabie, Hamilton Wright
Mabini, Apolinario
Mably, Gabriel Bonnot de
Mac Bride, Mac Kenzie
Mac Gregor, George
Mac Neill, Eoin
MacApp, C. C.
MacArthur, Margaret
MacArthur, Ruth Brown
MacBeth, R. G.
MacBride, E. W.
MacCaffrey, James
MacCallum, John Bruce
MacCallum, Mungo William, Sir
MacCarthy, Denis Florence
MacCauley, Clay
MacClintock, Porter Lander
MacClure, Victor
MacCracken, H. N.
MacCulloch, Edgar, Sir
MacCulloch, J. A.
MacDermott, Marshall
MacDiarmid, Hugh
MacDonagh, Michael
MacDonald, Alexander
MacDonald, Arthur
MacDonald, Daniel J.
MacDonald, Duncan Black
MacDonald, Elizabeth Roberts
MacDonald, Everett
MacDonald, George
MacDonald, John A.
MacDonald, John D.
MacDonald, Philip
MacDonald, Ronald
MacDonald, Wilson
MacDowell, Edward
MacFarlane, Charles
MacFarlane, Peter Clark
MacGibbon, David
MacGill, Patrick
MacGillivray, Evan James
MacGillivray, John
MacGillivray, William
MacGowan, Alice
MacGrail, Joseph Francis
MacGrath, Harold
MacGregor, John
MacGregor, Mary Esther Miller
MacGregor, Morris J.
MacGregor, William
MacHarg, William
MacIlwaine, Herbert C.
MacKaye, Harold Steele
MacKaye, Percy
MacKaye, Steele
MacKaye, Steele, Mrs.
MacKellar, Thomas
MacKendrick, Paul Lachlan
MacKenna, Robert William
MacKenzie, Compton
MacKenzie, Edna I.
MacKeracher, William M.
MacKinnon, Daniel Henry
MacLane, Mary
MacLaren, Gordon
MacLaurin, C.
MacLean, J. P.
MacLean, John
MacLean, Kate Seymour
MacLean, Katherine
MacLehose, Sophia H.
MacLeod, E. S.
MacMahon, Henry
MacMechan, Archibald
MacMicking, Robert
MacMillan, Cyrus
MacNamara, Brinsley
MacNaul, Willard C.
MacNeal, Ward J.
MacNeil, John
MacNeill, J. G. Swift
MacNeill, Nigel
MacNutt, Francis Augustus
MacOubrey, William
MacPherson, Daniel, Mrs.
MacQuarrie, Hector
MacQueen, James
MacRitchie, David
MacRory, Joseph
MacSwiney, Terence J.
Macadam, Robert K.
Macalister, Robert Alexander Stewart
Macartney-Filgate, John Victor
Macassey, Lynden Livingston
Macaulay, Rose
Macaulay, Thomas Babington Macaulay, Baron
Macaulay, W. Hastings
Macauley, C. R.
Macbeth, Ann
Macbride, Thomas H.
Maccas, Léon
Macclesfield, George Parker, Earl of
Macdill, David
Macdonald, Frederic W.
Macdonald, Frederika
Macdonald, J. H. A.
Macdonald, John Frederick
Macdonald, William
Macdonell, Arthur Anthony
Macdonnell, Blanche Lucile
Macduff, John R.
Mace, D. R.
Mace, Vera
Mace, William H.
Macedo, Antonio da Costa de Souza de
Macedo, Diogo de
Macedo, Inácio José de
Macedo, José Agostinho de
Maceroni, Emilie
Macfadden, Bernarr
Macfall, Haldane
Macfarlane, Alexander
Macfarlane, Wallace
Macfie, R. A. Scott
Macgeorge, Andrew
Macgill, Thomas
Macgowan, Daniel Jerome
Macgowan, J.
Macgowan, Kenneth
Macgregor, Mary
Mach, Ernst
Machado de Assis
Machado, Antonio
Machado, Cirilo Volkmar
Machado, Diogo Rosa
Machado, Júlio César
Machar, Agnes Maule
Machar, J. S.
Machen, Arthur
Machen, J. Gresham
Machiavelli, Niccolò
Machray, Robert
Machuron, Alexis
Maciejowski, Wacław Aleksander
Macilwain, George
Mack, Isaac Alexander
Mack, Louise
Mack, Robert Ellice
Mackail, J. W.
Mackall, Lawton
Mackarness, Henry S., Mrs.
Mackay, Angus
Mackay, Charles
Mackay, Constance D'Arcy
Mackay, Eric
Mackay, Helen
Mackay, Isabel Ecclestone
Mackay, John Henry
Mackay, William
Mackellar, Dorothea
Mackenzie, A.
Mackenzie, A. R. D.
Mackenzie, Alexander
Mackenzie, Clutha N.
Mackenzie, Donald A.
Mackenzie, George
Mackenzie, George C.
Mackenzie, Henry
Mackenzie, J. B.
Mackenzie, Kenneth R. H.
Mackenzie, R. Shelton
Mackenzie, Robert
Mackereth, James Allan
Mackey, Albert Gallatin
Mackie, Alexander
Mackie, Charles
Mackie, J. Milton
Mackie, John
Mackie, Pauline Bradford
Mackinder, Halford John
Mackinlay, James M.
Mackinlay, M. Sterling
Mackintosh, Charles Henry
Mackintosh, James, Sir
Mackintosh, Mabel
Macklin, A. H.
Macklin, Alys Eyre
Macklin, Charles
Mackowsky, Hans
Mackubin, Ellen
Maclagan, Robert Craig
Maclaren, Alexander
Maclaren, Ian
Maclean, Norman
Maclear, G. F.
Macleod, Mary
Macleod, Norman
Macleod, Rita
Maclise, Joseph
Macmichael, William
Macmillan & Co.
Macmillan, Hugh
Macmillan, Newton
Macnamara, T. J.
Macnaughtan, S.
Macnish, Robert
Macomber, Ben
Macomber, Hattie E.
Macon, T. J.
Macpherson, Hector
Macpherson, James
Macquer, Pierre Joseph
Macquoid, Katharine S.
Macray, William Dunn
Mactear, James
Macy, Arthur
Macy, Jesse
Macy, John Albert
Macy, William Hussey
Macé, Jean
Madan, Falconer
Madden, Eva Annie
Madders, Susan Swain
Maddren, Gerry
Mader, Friedrich Wilhelm
Madison, Charles Allan
Madison, James
Madison, Lucy Foster
Madrazo, Pedro D.
Madvig, J. N.
Maeterlinck, Maurice
Magalhães, José Maria Barbosa de
Magazine, The Harmsworth
Magee, Knox
Magee, William Connor
Maggard, James H.
Magie, Lizzie
Magill, Rory
Maginn, William
Maginnis, Charles Donagh
Magnay, William, Sir
Magnus, Hugo
Magnus, Katie, Lady
Magnus, Laurie
Magoffin, Ralph Van Deman
Magoon, Elias Lyman
Magre, Maurice
Magruder, Julia
Magruder, Richard
Maguire, Thomas
Mahaffy, J. P.
Mahalin, Paul
Mahan, A. T.
Mahan, Asa
Mahaney, Margaret
Maher, Richard Aumerle
Maher, William H.
Maher, Zena A.
Mahlke-Johnson, Kathleen P.
Mahon, Maurice Hartland
Mahood, J. W.
Maigron, Louis
Mailand, Oszkár
Maile, John Levi
Maillard, Annette Marie
Maillard, Antoine Simon
Maillard, Firmin
Maillard, Olivier
Mailáth, János Nepomuk Jozsef, gróf
Maimon, Solomon
Maimonides, Moses
Maindron, Maurice
Maine, Henry Sumner, Sir
Mainer, R. Henry
Mainland, T.
Maintenon, Madame de
Mainwaring, Arthur Edward
Mainwaring, Cyril Lyttleton
Mair, Charles
Mair, G. H.
Maire, F.
Mairet, Ethel
Mairet, Jean de
Mais, S. P. B.
Maisch, Richard
Maistre, Xavier de
Maitland, Edward
Maitland, Frederic William
Maitland, Frederick Lewis, Sir
Maitland, Julia Charlotte
Maitland, Robert
Maizeroy, René
Major, Charles
Major, R. W.
Major, Richard Henry
Majors, Alexander
Makellar, Archibald
Makins, George Henry
Malan, César
Malatesta, Errico
Malcolm, James Peller
Malcolm, John
Malcolm, Napier
Malcolm, Napier, Mrs.
Malden, Henry Elliot
Malek, Leona A.
Malet, Lucas
Malham-Dembleby, John
Malheiro Dias, Augusto
Malheiro, Agostinho Marques Perdigão
Malherbe, Daniel François
Malinowski, Bronislaw
Malins, Geoffrey H.
Malkin, Arthur Thomas
Mallarmé, Stéphane
Mallery, Garrick
Malleson, G. B.
Malleson, Hope
Malleson, Miles
Mallet, Charles Edward, Sir
Mallet, Christian
Mallet, Thierry
Malling, Mathilda
Malloch, D. Macleod
Malloch, Douglas
Mallock, W. H.
Mallory, George
Malmberg, Aino
Malone, Edmond
Malonyay, Dezső
Malory, Thomas, Sir
Malot, Hector
Malte-Brun, Conrad
Malthus, T. R.
Malʹsagov, S. A.
Mamiani della Rovere, Terenzio, conte
Mamin-Siberiak, D. N.
Man who dined with the Kaiser
Manasseh ben Israel
Mancey, Claude
Mandall, Abertine D.
Mandat-Grancey, E., baron de
Mandell, C. Creighton
Mandeville, Bernard
Mandeville, John, Sir
Manford, E.
Mangasarian, M. M.
Mangin, Arthur
Maniates, Belle Kanaris
Manin, Leonardo
Maning, Frederick Edward
Manington, George
Manion, R. J.
Maniri, Sharaf al-Din Ahmad ibn Yahya
Manly, Charles M.
Manly, Harold P.
Manly, John Matthews
Manly, Louise
Manly, William Lewis
Mann, Arthur M.
Mann, D. D.
Mann, Franziska
Mann, Heinrich
Mann, Henry
Mann, Horace
Mann, Mary E.
Mann, Mary Tyler Peabody
Mann, Richard F.
Mann, Thomas
Mann, William W.
Mannerheim, Carl Gustaf Emil
Mannerheim, Sophie
Mannering, George Edward
Manners, Emily
Manners, J. Hartley
Manninen, Otto
Manning, Anne
Manning, Clarence Augustus
Manning, Emmerson Wain
Manning, Frederic
Manning, Henry Parker
Manning, J. C.
Manning, Joseph C.
Manning, Laurence
Manning, Marie
Manning, Samuel
Manning, William
Manning, William R.
Manningham, John
Mannix, Mary Ellen
Manrique, Jorge
Mansel, Henry Longueville
Mansfield, Katherine
Mansfield, M. F.
Mansfield, Robert Blachford
Mansfield, Robert E.
Mansfield, William James
Mansilla, Lucio V.
Manson, George J.
Manson, W. L.
Mant, Alicia Catherine
Mantegazza, Paolo
Mantell, Gideon Algernon
Mantere, Niilo
Mantere, Oskari
Manton, Walter Porter
Manucy, Albert C.
Manwell, M. B.
Manzoni, Alessandro
Mapes, Victor
Maple, William
Maples, Richard
Mapleson, James Henry
Maquet, Auguste
Maragall, Joan
Marat, Jean Paul
Marble, Annie Russell
Marbot, Jean-Baptiste-Antoine-Marcelin, baron de
Marbourg, Dolores
Marc, Franz
Marcantonio, Vito
Marcel, Jeanne
Marcet, Mrs.
March, Eleanor S.
March, Francis A., Jr.
Marchant, Bessie
Marchant, James, Sir
Marchmont, Arthur W.
Marcin, Max
Marcos, Benjamín
Marcosson, Isaac Frederick
Marcou, Jules
Marcoy, Paul
Marcus Aurelius, Emperor of Rome
Marcy, Mary
Marcy, Randolph B.
Marden, Orison Swett
Marden, Philip Sanford
Mardiganian, Aurora
Marett, R. R.
Marge, Pierre
Margoliouth, Moses
Marguerite, Queen, consort of Henry II, King of Navarre
Marguerite, Queen, consort of Henry IV, King of France
Margueritte, Paul
Margueritte, V.
Marholm, Laura
Mariager, Peder
Mariani, Angelo
Mariano, Patricio
Marie Adelaide, of Savoy, Duchess of Burgundy
Marie Antoine, Sister
Marie Madeleine
Marie, Queen, consort of Ferdinand I, King of Romania
Marillier, H. C.
Marinelli, Olinto
Marinetti, F. T.
Mario, Alberto
Marion, Fulgence
Marion, George
Marivaux, Pierre Carlet de Chamblain de
Mariéjol, Jean-H.
Mariéton, Paul
Marjoribanks, Charles
Markham, Albert Hastings, Sir
Markham, Clements R., Sir
Markham, Edwin
Markham, Gervase
Markham, Violet R.
Markham, Virgil
Markman, Harvey C.
Marks, Alfred
Marks, Bernhard
Marks, Harry F.
Marks, Jeannette Augustus
Marks, Percy
Marks, Winston K.
Markwick, William Fisher
Marlatt, C. L.
Marlitt, E.
Marlow, Ralph
Marlowe, Amy Bell
Marlowe, Christopher
Marlowe, Stephen
Marlys, Jean
Marmette, Joseph
Marmont, Auguste Frédéric Louis Viesse de, duc de Raguse
Marmontel, A.
Marmontel, Jean-François
Marmor, Arnold
Marot, Helen
Marquand, John P.
Marquis, Don
Marquis, Reina Melcher
Marquis, Thomas Guthrie
Marr, J. E.
Marr, J. W. S.
Marriot, Emil
Marriott, Crittenden
Marrs, William Taylor
Marryat, Florence
Marryat, Frank
Marryat, Frederick
Mars, James
Mars, Mademoiselle
Marsan, Eugène
Marsden, Samuel
Marsden, Stanley J.
Marsden, William
Marsh, A.
Marsh, C. Dwight
Marsh, George
Marsh, George P.
Marsh, John B.
Marsh, Richard
Marsh, Sylvester
Marsh, W. Lockwood
Marsh, Willard
Marshall, Archibald
Marshall, Arthur
Marshall, Bernard Gay
Marshall, Caroline Louise
Marshall, Charles Hunt
Marshall, Edison
Marshall, Edward
Marshall, Emma
Marshall, H. E.
Marshall, Herbert, R. W. S.
Marshall, Hester
Marshall, J.
Marshall, John
Marshall, Julian, Mrs.
Marshall, Logan
Marshall, Thomas Maitland
Marsili, Giovanni
Marsland, Cora
Marson, Charles L.
Marson, Percival
Marston, E.
Marston, John
Marsy, Arthur de
Martelaos, Antonios
Marten, Catherine
Marten, Edward Bindon
Martens, Frederick Herman
Martet, Jean
Martial, d'Auvergne
Martin du Gard, Roger
Martin, Absalom
Martin, Annie, Mrs.
Martin, Benj. N.
Martin, Benjamin Ellis
Martin, Catherine
Martin, Charlotte M.
Martin, Edward A.
Martin, Edwin Perry
Martin, Elizabeth Gilbert
Martin, Ernest G.
Martin, Everett Dean
Martin, Frances
Martin, Frank A.
Martin, Frank Eugene
Martin, Frederick
Martin, Frederick Townsend
Martin, Gene Allen
Martin, George
Martin, George Madden
Martin, Helen Reimensnyder
Martin, Jean
Martin, John
Martin, John Alexander
Martin, John N.
Martin, Mabel Wood
Martin, Marcus J.
Martin, Martha Evans
Martin, Minnie
Martin, O. B.
Martin, Percy F.
Martin, René
Martin, Robert J.
Martin, Sarah Catherine
Martin, Stapleton
Martin, Stuart
Martin, Stuart, Military Historian
Martin, T. T.
Martin, Theodore, Sir
Martin, Thomas Commerford
Martin, W. A. P.
Martin, W. Bradford
Martin, William
Martin, William Young
Martin, Édouard
Martindale, Joseph C.
Martindale, William
Martine, Arthur
Martineau, Harriet
Martineau, James
Martineau, John
Martinek, Frank V.
Martinengo-Cesaresco, Evelyn Lilian Hazeldine Carrington, contessa
Martinez de la Torre, Rafael
Martini, Ferdinando
Martino, Joseph Paul
Martinon, Philippe
Martoglio, Nino
Martorell, Joanot
Marty, Aletta E.
Marty, Paul
Martyn, Charles
Martyn, S. T.
Martyn, W. Carlos
Martyn, Wyndham
Martí, José
Martín de la Cámara, Eduardo
Martínez Ruiz, José
Martínez de Zúñiga, Joaquín
Martínez de la Rosa, Francisco
Martínez, Alberto B.
Martínez, Emilio
Marvell, Andrew
Marvin, Frederic Rowland
Marx, Arno
Marx, Karl
Marx, Magdeleine
Marx, W. J.
Marx-Koning, Marie
Mary Agnes, Sister, O.S.B.
Mary Rosaria, Sister
Mary-Lafon, Jean Bernard Lafon, called
Maryan, M.
Marylebone Anti-Compulsory Vaccination League
Maryon, Maud
Marzials, Ada M.
Marzials, Frank T., Sir
Marès, Jolanthe
Maréchal, Sylvain
Masamune, Hakuchō
Masani, Rustom Pestonji
Mascarenhas, Miguel J. T.
Masefield, John
Masham, Damaris, Lady
Masi, Ernesto
Maskell, Henry Parr
Maskell, William
Maskell, William Miles
Maskelyne, John Nevil
Maslin, T. Paul
Mason, A. E. W.
Mason, Alfred Bishop
Mason, Amelia Gere
Mason, Arthur
Mason, Caroline Atwater
Mason, Charlotte M.
Mason, Daniel Gregory
Mason, David
Mason, Eveleen Laura
Mason, Francis
Mason, Isaac
Mason, James
Mason, John
Mason, John Hollis
Mason, Mary Murdoch
Mason, Otis Tufton
Mason, R. Hindry
Mason, R. Osgood
Mason, Richard Lee
Mason, Walt
Mason, Walter Esplin
Mason, William
Maspero, G.
Maspons i Labrós, Francesc
Masqueray, Émile
Massa, Philippe, marquis de
Massachusetts Homoeopathic Medical Society
Massachusetts. Commissioners on Fisheries and Game
Massachusetts. General Court. Committee on Railways and Canals
Massalska, Apolonia Helena
Massard, Émile
Massart, Jean
Massee, George
Massenet, Jules
Massey, Beatrice Larned
Massey, Montague
Massey, W. T.
Massey, William C.
Massinger, Philip
Massis, Henri
Masson, David
Masson, Flora
Masson, Rosaline
Massé, H. J. L. J.
Masten, V. M.
Masterman, Charles F. G.
Masterman, Lucy
Masterman, Walter S.
Masters, David
Masters, Edgar Lee
Masters, Maxwell T.
Mastin, John
Mastriani, Francesco
Mata, Pedro
Mateos, Juan A.
Mather, Cotton
Mather, Frank Jewett
Mather, Increase
Mather, Joseph
Mather, Marshall
Mathers, Helen
Matheson, Annie
Matheson, D. M.
Matheson, Richard
Mathews, Basil
Mathews, Cornelius
Mathews, Edward D.
Mathews, F. Schuyler
Mathews, Frances Aymar
Mathews, Joanna H.
Mathews, R. H.
Mathews, W. S. B.
Mathews, William
Mathewson, Christy
Mathiez, Albert
Mathot, Rodolphe Edgard
Mathuisieulx, A. de
Mativet, Antoine‏
Matos, Gregório de
Matos, J. J. Rodrigues de
Matos, Júlio de
Matsell, George W.
Matsuo, Bashō
Mattes, Merrill J.
Matteson, Stephen Halsey
Matthew, Patrick
Matthew, William Diller
Matthewman, Lisle de Vaux
Matthews, Albert
Matthews, Brander
Matthews, Franklin
Matthews, Ike
Matthews, J. W.
Matthews, Stanley R.
Matthews, Thomas T.
Matthews, W. H.
Matthews, W. J.
Matthews, Washington
Matthews, William Henry
Matthias, Leo
Mattison, Ray H.
Mattoon, Wilbur R.
Mattox, Alan
Mattson, Hans
Mattsson, Gustaf
Matull, Kurt
Maturin, Charles Robert
Matz, B. W.
Mau, August
Maubray, John
Mauclair, Camille
Mauclère, Jean
Maud, Renée Gaudin de Villaine
Maude, Aylmer
Maude, F. N.
Maudslay, Alfred Percival
Maudslay, Anne Cary
Mauduit, Israel
Maugham, W. Somerset
Maugras, Gaston
Maule, Harry E.
Maule, Mary K.
Maulsby, William S.
Maumené, Charles
Maunder, E. Walter
Maunsell, Robert
Maunu, J. A.
Maupassant, Guy de
Mauriac, François
Maurice, Arthur Bartlett
Maurice, C. Edmund
Maurice, Frederick Denison
Maurice, Furnley
Maurice, John Frederick
Mauriceau, A. M.
Maurik, Justus van
Maurois, André
Maury, Richard L.
Maverick, Samuel
Mavrogordato, John
Mawe, John
Mawer, A.
Mawhinney, Thomas A. H.
Mawson, Douglas, Sir
Max, Frederic
Maxfield, Albert
Maxfield, Berton L.
Maxim, Hiram S.
Maxim, Hudson
Maximilian, Emperor of Mexico
Maxwell, Alfred E.
Maxwell, David
Maxwell, Donald
Maxwell, Edward Herbert
Maxwell, George Hebard
Maxwell, Herbert, Sir
Maxwell, J.
Maxwell, James Clerk
Maxwell, James Robert
Maxwell, M. H.
Maxwell, Violet
Maxwell, W. B.
Maxwell, W. H.
Maxwell, William Edward, Sir
Maxwell, Wm. Audley
Maxwell-Scott, Mary Monica
May, Carrie L.
May, E. J.
May, Florence
May, James Vance
May, Karl
May, Phil
May, Robert
May, Samuel
May, Samuel J.
May, Sophie
May, W.
May, W., Rev.
Mayans y Siscar, Gregorio
Maybrick, Florence Elizabeth
Mayde, Richard
Mayer, Brantz
Mayer, Charles
Mayer, Emil
Mayer, Frank
Mayer, J. E.
Mayer, Otto
Mayfield, M. I.
Mayhew, A. L.
Mayhew, Augustus
Mayhew, Edward
Mayhew, Henry
Mayhew, Horace
Mayhew, Ira
Maynard, C. J.
Maynard, François de
Maynard, Theodore
Mayne, Ethel Colburn
Mayne, Rutherford
Maynwaring, Arthur
Mayo, A. D.
Mayo, Charles Edwin
Mayo, Dermot Robert Wyndham Bourke, Earl of
Mayo, Herbert
Mayo, Margaret
Mayor, F. M.
Mayow, Mayow Wynell
Mayreder, Rosa
Mayson, Walter H.
Mazel, Henri
Mazier du Heaume, Hippolyte
Mazzini, Giuseppe
Maël, Pierre
Mc Donald, R. D.
McAdam, John Loudon
McAdie, Alexander
McAfee, Cleland Boyd
McAlister, Hugh
McAllan, Alexander
McAllister, A.
McAllister, Bruce
McAllister, Ward
McAnally, D. R.
McAndrew, James
McArthur, Peter
McAulay, Alex.
McAulay, Allan
McAuley, Mary Ethel
McBride, Herbert W.
McBride, Isaac
McBride, James
McBride, R. E.
McBryde, Charles Neil
McCabe, James Dabney
McCabe, Joseph
McCain, Vernon L.
McCaleb, Walter Flavius
McCall, D.
McCall, Sidney
McCandless, Wilson
McCann, Edson
McCarter, Margaret Hill
McCarthy, Carlton
McCarthy, Charles H.
McCarthy, George T.
McCarthy, Justin
McCarthy, Justin H.
McCarty, Louis Philippe
McCaul, Alexander
McClatchie, Sam
McCleary, J. T.
McClees, Helen
McClellan, Edwin North
McClellan, George B.
McClellan, William J.
McClelland, M. G.
McClintock, Alexander
McClintock, James H.
McClintock, Marshall
McClintock, Walter
McClung, Nellie L.
McClure, Alexander K.
McClure, James G. K.
McClymont, James Roxburgh
McColvin, Lionel R.
McComas, J. Francis
McCombie, William
McConaughy, J. W.
McConn, Max
McConnaughay, T. J.
McConnel, John Ludlum
McConnell, Burt M.
McConnell, Charles Allen
McConnell, Francis John
McConnell, James R.
McConnell, James V.
McConnell, Walter Caruth
McCook, Henry C.
McCormack, Ford
McCormack, Mary A.
McCormick & Co.
McCormick, Eliot
McCormick, W. H.
McCracken, Elizabeth
McCrae, John
McCreagh, Gordon
McCrindle, John Watson
McCulley, Johnston
McCulloch, A.
McCulloch-Williams, Martha
McCutcheon, George Barr
McCutcheon, John T.
McDaniel, Gary L.
McDermott, William A.
McDonald, Edward D.
McDonald, Etta Blaisdell
McDonald, J. Daley
McDonald, N. A.
McDonald, W.
McDonnell, Alexander
McDonnell, Michael, Sir
McDougall, Henriette
McDougall, John
McDougall, Marion Gleason
McDougall, William
McDowall, Stewart Andrew
McDowell, Robert Emmett
McElroy, Crocket
McElroy, John
McElroy, Robert McNutt
McFadden, Elizabeth A.
McFadyen, John Edgar
McFarland, J. Horace
McFee, William
McFeeters, J. C.
McFerran, James
McGaffey, Ernest
McGaffey, Kenneth
McGavin, Beta
McGaw, Virginia
McGee, E. S.
McGee, Perry Honce
McGee, Thomas D'Arcy
McGee, W J
McGibeny, Donald
McGilchrist, John
McGilvary, Daniel
McGirt, James E.
McGivern, William P.
McGlashan, C. F.
McGlauflin, Idabelle
McGovern, Janet B. Montgomery
McGovern, John
McGowan, Richard
McGraw-Hill Publishing Company
McGreevey, John
McGregor, Duncan
McGregor, Richard C.
McGregor, Ronald L.
McGrew, Paul O.
McGrigor, James, Sir
McGuffey, Alexander H.
McGuffey, William Holmes
McGuinn, Roger
McGuire, John J.
McHarry, Samuel
McHugh, Augustin
McHugh, John A.
McIlhenny, Edward Avery
McIlhenny, Loyce J.
McIlrath, H. Darwin
McIlvaine, Charles
McIlwraith, Jean N.
McIntosh, Gilbert
McIntosh, Harlan Cozad
McIntosh, Jean
McIntosh, Maria J.
McIntyre, J. Lewis
McIntyre, James
McIntyre, John T.
McIntyre, Margaret A.
McIntyre, Ruth A.
McIntyre, T.
McIntyre, W. A.
McIsaac, Isabel
McIvor-Tyndall, Alexander J.
McKay, Arch, Mrs.
McKay, Claude
McKay, David O.
McKay, Kenneth W.
McKay, R. H.
McKay, William
McKechnie, Jean L.
McKechnie, William Sharp
McKee, Edwin D.
McKee, Lanier
McKee, Mabel Anne
McKeever, William A.
McKenna, Dolores
McKenna, Richard
McKenna, Stephen
McKenty, Jack
McKenzie, Dan
McKenzie, Fred A.
McKenzie, J. H.
McKenzie, Roderick Duncan
McKillen, Arch Alfred
McKim, Randolph H.
McKimmey, James
McKinlay, Duncan E.
McKinlay, John
McKinley, Albert E.
McKinley, William
McKinney, Emma
McKinney, Kate Slaughter
McKinney, William
McKishnie, Archie P.
McKnight, George Harley
McKnight, Hiram Peck
McKown, Robin
McLachlan, D. B.
McLandburgh, Florence
McLaren, Barbara
McLaren, Eva Shaw
McLaughlin, Edward T.
McLaughlin, J. Fairfax
McLaughlin, M. Louise
McLaughlin, Marie L.
McLaurin, John J.
McLean, George N.
McLean, John
McLennan, William
McLeod, Lyons
McMahan, Anna Benneson
McMahon, James
McMahon, Theresa Schmid
McManus, Blanche
McManus, Thomas
McMaster, John Bach
McMillan, D. G.
McMurry, Charles A.
McMurry, Frank M.
McMurry, Lida B.
McMurry, Richard M.
McNair, George Hastings
McNair, John Frederick Adolphus
McNamara, Frank P.
McNeal, Edgar Holmes
McNeely, Marian Hurd
McNeil, Everett
McNeile, H. C.
McNeill, John Charles
McNeill, Ronald
McPherson, J. H. T.
McPherson, William
McQueen, Anne
McQuilkin, Robert Crawford
McQuilland, Louis J.
McRae, Charles
McReynolds, Robert
McRoberts, Walter
McSpadden, J. Walker
McWatters, George S.
McWhorter, Lucullus Virgil
Meacham, A. B.
Meacham, Henry H.
Mead, G. R. S.
Mead, George H.
Mead, Harry H.
Mead, Lucia True Ames
Mead, Margaret
Mead, Richard
Mead, Theodore H.
Meade, L. T.
Meader, John Richard
Meader, Stephen W.
Meadowcroft, Wm. H.
Meadows, Mark
Meakin, Annette M. B.
Meakin, Budgett
Means, E. K.
Means, Florence Crannell
Means, James
Means, Philip Ainsworth
Means, Raymond
Mearns, Andrew
Mearns, Hughes
Mears, A. Garland
Mears, James R.
Mears, Mary M.
Mech, L. David
Mechthild, of Magdeburg
Medina, Frank J.
Medley, D. J.
Medley, J. G.
Medrano, Pura
Mee, Arthur
Mee, Cornelia
Mee, Huan
Meek, S. P.
Meeker, Ezra
Meem, J. C.
Meer Hasan Ali, Mrs.
Meester, Johan de
Megrue, Roi Cooper
Meid, Pat
Meier, Georg Friedrich
Meier, J. Alois
Meier, Lina
Meige, Henry
Meignan, Victor
Meigs, Cornelia
Meijboom, Margaretha
Meiklejohn, J. M. D.
Meillac, Camille
Meinhardt, Adalbert
Meinhold, Wilhelm
Meisel-Hess, Grete
Meissner, Carl
Meister, Jacques-Henri
Melamed, S. M.
Melanchthon, Philipp
Melander, Richard
Melas, Leon
Melati, van Java
Melba, Nellie, Dame
Melby, Gustav
Meldola, Raphael
Melegari, Dora
Melin, Karl Alfred
Melius, Louis
Melkanoff, Michel A.
Mellen, Nicholas
Meller, Henry James
Mellin, G. H.
Mello, Thomaz José de
Melo, Joaquim Lopes Carreira de
Meloney, Marie Mattingly
Meloney, William Brown
Melson, Charles D.
Melville, Frederick John
Melville, Herman
Melville, Lewis
Melville, Velma Caldwell
Meléndez Valdés, Juan
Member of the Philadelphia bar
Memes, J. S.
Menabrea, Luigi Federico
Menant, Delphine
Mencken, H. L.
Mendel, Florence Emma Voigt
Mendel, Gregor
Mendel, Rosalie G.
Mendeleyev, Dmitry Ivanovich
Mendelin, Irene
Mendell, M.
Mendelssohn, Erich von
Mendelssohn-Bartholdy, Felix
Mendenhall, Thomas C.
Mendez, Santiago
Mendès, Catulle
Menefee, Maud
Meneses, Maria de Lara e
Mengel, Robert Morrow
Mengozzi, Guido
Menpes, Dorothy
Menpes, Mortimer
Mentor, Lillian Frances
Menzel, Donald H.
Menzel, Johann Daniel von
Menzel, Wolfgang
Menzies, Allan
Menzies, Stuart, Mrs.
Menéndez y Pelayo, Marcelino
Mercer, C. A.
Mercer, Henry C.
Mercer, John Edward
